machine_name,average_time_on_machine,count,last_timestamp
user@ec41,21658.80777,105,303223.3087800001
user@ec34,21312.9297,113,319693.94550000003
user@ec35,21014.34252,113,315215.1378
user@ec36,21000.07941,113,315001.19115
user@ec44,20982.82842,113,314742.4263
user@ec42,20899.44017,113,313491.6025500001
user@ec48,20834.38964,113,312515.84460000007
user@ec33,20806.08251,113,312091.23765
user@ec43,20360.90578,113,305413.5867000001
user@ec45,20295.78698,113,304436.8047
user@ec46,19414.51064,121,310632.17023999995
user@ec4,10528.23927,225,305318.93883
user@ec5,10421.31686,225,302218.18894
user@ec22,10405.88841,225,301770.76389000023
user@ec10,10348.47137,225,300105.66972999973
user@ec21,10345.22643,225,300011.56647
user@ec16,10334.2796,225,299694.1084000001
user@ec9,10309.95089,233,309298.52670000005
user@ec8,10289.56561,233,308686.9682999999
user@ec17,10262.95786,233,307888.7358
user@ec19,10257.71626,233,307731.4877999999
user@ec6,10202.23863,233,306067.15890000004
user@ec23,10167.02141,233,305010.6422999998
user@ec12,10117.73328,233,303531.99839999975
user@ec7,10059.17543,233,301775.26290000003
user@ec38,10037.82073,233,301134.6219
user@ec20,10017.07462,233,300512.2385999999
user@ec2,10012.33102,233,300369.9306000001
user@ec24,10006.64446,233,300199.3338
user@ec15,9971.429024,241,309114.2997440002
user@ec18,9888.778885,241,306552.145435
user@ec29,9754.052392,241,302375.62415200006
user@ec40,9500.306788,249,304009.81721599976
user@ec39,9481.839926,249,303418.8776319998
user@ec37,9474.434346,249,303181.899072
user@ec30,9448.903218,249,302364.9029759999
user@ec31,9403.659049,249,300917.0895680001
user@ec32,9249.969343,257,305248.988319
x-user@a120.anvil.rcac.purdue.edu,8653.942483,1089,302887.9869049999
x-user@a239.anvil.rcac.purdue.edu,8589.832236,1089,300644.1282599998
x-user@a130.anvil.rcac.purdue.edu,8442.410685,1121,303926.7846600002
x-user@a067.anvil.rcac.purdue.edu,8338.892855,1121,300200.1427800001
x-user@a106.anvil.rcac.purdue.edu,8170.32394,1153,302301.98577999993
x-user@a031.anvil.rcac.purdue.edu,8014.924415,1185,304567.1277699999
x-user@a012.anvil.rcac.purdue.edu,7924.037191,1185,301113.41325800016
x-user@a014.anvil.rcac.purdue.edu,7911.672495,1185,300643.5548100002
x-user@a082.anvil.rcac.purdue.edu,7897.280181,1185,300096.6468780002
x-user@a008.anvil.rcac.purdue.edu,7896.501654,1185,300067.0628519999
x-user@a007.anvil.rcac.purdue.edu,7889.783132,1185,299811.7590160002
x-user@a016.anvil.rcac.purdue.edu,7884.4418,1217,307493.2301999998
x-user@a013.anvil.rcac.purdue.edu,7883.767387,1217,307466.9280930001
x-user@a078.anvil.rcac.purdue.edu,7882.06634,1217,307400.58726
x-user@a079.anvil.rcac.purdue.edu,7876.65945,1217,307189.71855000005
x-user@a074.anvil.rcac.purdue.edu,7853.519879,1217,306287.2752810002
x-user@a035.anvil.rcac.purdue.edu,7819.869868,1217,304974.924852
x-user@a080.anvil.rcac.purdue.edu,7803.903272,1217,304352.22760800004
x-user@a083.anvil.rcac.purdue.edu,7799.544604,1217,304182.23955599987
x-user@a034.anvil.rcac.purdue.edu,7763.758943,1217,302786.5987769998
x-user@a060.anvil.rcac.purdue.edu,7736.501453,1217,301723.5566670001
x-user@a036.anvil.rcac.purdue.edu,7718.087898,1217,301005.4280220001
user@ec143,5204.619139,457,301867.91006199986
user@ec166,5138.969717,465,303199.2133030002
user@ec168,5137.815493,465,303131.11408699985
user@ec138,5133.67745,465,302886.96954999986
user@ec136,5130.610291,465,302706.0071689997
user@ec187,4122.299398,577,300927.85605400015
user@ec191,4108.40179,577,299913.33066999994
user@ec192,4103.086524,585,303628.4027760002
