requested_by,job_duration,hours,days
user@ec36,38550.97321271896,10.708603670199713,0.44619181959165466
user@ec45,38099.08679366112,10.583079664905865,0.44096165270441107
user@ec42,37546.27501320839,10.42952083700233,0.43456336820843044
user@ec34,37122.19215250015,10.311720042361154,0.42965500176504806
user@ec35,37077.99183368683,10.299442176024119,0.42914342400100497
user@ec41,36829.410116672516,10.2303916990757,0.4262663207948208
user@ec44,36808.33520889282,10.224537558025784,0.42602239825107435
user@ec33,36185.725806474686,10.051590501798524,0.41881627090827184
user@ec43,36147.653418540955,10.041014838483598,0.41837561827014996
user@ec48,35385.76696205139,9.829379711680943,0.40955748798670594
user@ec46,34060.278332710266,9.461188425752852,0.3942161844063688
user@ec17,19202.698102474213,5.3340828062428365,0.2222534502601182
user@ec10,18975.750925779343,5.271041923827595,0.2196267468261498
user@ec9,18860.446574926376,5.239012937479549,0.21829220572831454
user@ec22,18860.229614019394,5.238952670560943,0.21828969460670594
user@ec12,18827.801030874252,5.229944730798404,0.2179143637832668
user@ec16,18686.381937503815,5.190661649306615,0.21627756872110895
user@ec19,18579.813886642456,5.161059412956238,0.21504414220650991
user@ec8,18539.823568105698,5.1499509911404715,0.21458129129751966
user@ec2,18434.709612846375,5.120752670235104,0.21336469459312934
user@ec23,18428.738615751266,5.119094059930907,0.21329558583045446
user@ec20,18399.75362801552,5.111042674448755,0.2129601114353648
user@ec7,18265.4609811306,5.073739161425166,0.21140579839271528
user@ec21,18264.87883234024,5.073577453427845,0.21139906055949353
user@ec4,18158.000918149948,5.043889143930541,0.21016204766377256
user@ec5,18053.5970993042,5.014888083140056,0.20895367013083563
user@ec6,18049.457450389862,5.01373818066385,0.20890575752766044
user@ec24,17946.964544296265,4.985267928971185,0.20771949704046602
user@ec18,17943.66545844078,4.98435151623355,0.20768131317639793
user@ec15,17908.693621873856,4.974637117187182,0.20727654654946592
user@ec30,17446.95393204689,4.846376092235247,0.20193233717646863
user@ec29,17384.304433584213,4.828973453773393,0.20120722724055803
user@ec40,17205.52135705948,4.779311488072078,0.1991379786696699
user@ec39,16948.88524389267,4.708023678859075,0.19616765328579477
user@ec32,16875.74970817566,4.687708252271016,0.19532117717795902
user@ec38,16873.01229071617,4.68694785853227,0.19528949410551125
user@ec37,16529.25102877617,4.5914586191044915,0.19131077579602046
user@ec31,16434.491567611694,4.565136546558804,0.1902140227732835
x-user@a008.anvil.rcac.purdue.edu,14559.78952550888,4.044385979308022,0.1685160824711676
x-user@a060.anvil.rcac.purdue.edu,14553.910737037659,4.042752982510461,0.16844804093793586
x-user@a012.anvil.rcac.purdue.edu,14482.209124088287,4.022835867802302,0.16761816115842926
x-user@a034.anvil.rcac.purdue.edu,14471.897776842117,4.019971604678366,0.1674988168615986
x-user@a078.anvil.rcac.purdue.edu,14396.531599283218,3.9990365553564495,0.16662652313985207
x-user@a082.anvil.rcac.purdue.edu,14375.704500675201,3.993251250187556,0.16638546875781482
x-user@a080.anvil.rcac.purdue.edu,14266.495654821396,3.96291545967261,0.16512147748635875
x-user@a074.anvil.rcac.purdue.edu,14229.652127027512,3.952681146396531,0.16469504776652213
x-user@a083.anvil.rcac.purdue.edu,14187.412684679031,3.9409479679663977,0.16420616533193325
x-user@a079.anvil.rcac.purdue.edu,14185.29176568985,3.940358823802736,0.16418161765844733
x-user@a035.anvil.rcac.purdue.edu,14136.032892942429,3.9266758035951193,0.16361149181646328
x-user@a013.anvil.rcac.purdue.edu,14124.033535718918,3.9233426488108103,0.1634726103671171
x-user@a016.anvil.rcac.purdue.edu,13998.75533413887,3.8885431483719084,0.16202263118216284
x-user@a036.anvil.rcac.purdue.edu,13970.283128261566,3.8806342022948797,0.16169309176228663
x-user@a014.anvil.rcac.purdue.edu,13919.045015335083,3.8664013931486343,0.16110005804785976
x-user@a007.anvil.rcac.purdue.edu,13822.56900548935,3.839602501524819,0.15998343756353414
x-user@a031.anvil.rcac.purdue.edu,13801.012648105621,3.8336146244737836,0.15973394268640764
user@ec166,9258.508428096771,2.5718078966935476,0.10715866236223115
user@ec136,9088.596423387527,2.5246101176076463,0.10519208823365193
user@ec168,9049.47696685791,2.513743601904975,0.10473931674604063
user@ec138,9022.718436002731,2.5063106766674252,0.10442961152780939
user@ec143,8938.814249038696,2.4830039580663046,0.10345849825276268
user@ec187,7427.641219854355,2.0632336721817652,0.08596806967424021
user@LABDESKTOP,7343.576256275177,2.0398822934097716,0.08499509555874048
user@ec191,7289.822298526764,2.0249506384796567,0.08437294326998569
user@ec192,7274.2986624240875,2.0206385173400245,0.08419327155583435
user@apt35,4972.827081918716,1.3813408560885323,0.05755586900368885
